source,target,weight,source_freq,target_freq
epidemiology,haloperidol,1,4,3
Weight Gain,quetiapine,1,3,2
adverse effects,quetiapine,1,16,2
Weight Gain,iloperidone,1,3,2
adverse effects,iloperidone,1,16,2
drug effects,iloperidone,1,5,2
Antipsychotics,administration & dosage,1,10,6
Antipsychotics,chemically induced,1,10,5
Antipsychotics,statistics & numerical data,1,10,3
Antipsychotics,United States Food and Drug Administration,1,10,2
Amisulpride,Schizophrenia,1,4,10
Amisulpride,drug therapy,1,4,14
Paliperidone Palmitate,adverse effects,1,3,16
Benzodiazepines,psychosis,1,3,2
Clozapine,psychosis,1,10,2
Weight Gain,lurasidone,1,3,2
adverse effects,lurasidone,1,16,2
Amisulpride,therapeutic drug monitoring,1,4,8
asenapine,therapeutic drug monitoring,1,2,8
drug effects,quetiapine,1,5,2
Risperidone,Weight Gain,1,7,3
Risperidone,drug effects,1,7,5
Weight Gain,sertindole,1,3,2
adverse effects,sertindole,1,16,2
drug effects,sertindole,1,5,2
adverse effects,metabolism,1,16,4
metabolism,pharmacology,1,4,3
drug effects,metabolism,1,5,4
Olanzapine,Weight Gain,1,6,3
Olanzapine,drug effects,1,6,5
Weight Gain,paliperidone,1,3,2
adverse effects,paliperidone,1,16,2
drug effects,paliperidone,1,5,2
Schizophrenia,psychosis,1,10,2
drug therapy,psychosis,1,14,2
Amisulpride,therapeutic use,1,4,19
antipsychotic drugs,therapeutic use,1,3,19
Benzodiazepines,antipsychotic drugs,1,3,3
Clozapine,antipsychotic drugs,1,10,3
antipsychotic drugs,epidemiology,1,3,4
antipsychotic drugs,haloperidol,1,3,3
Antipsychotics,haloperidol,1,10,3
Antipsychotics,iloperidone,1,10,2
Antipsychotics,lurasidone,1,10,2
Antipsychotics,Olanzapine,1,10,6
Antipsychotics,paliperidone,1,10,2
Antipsychotics,quetiapine,1,10,2
Antipsychotics,Risperidone,1,10,7
Antipsychotics,sertindole,1,10,2
Amisulpride,Quality Control,1,4,2
Amisulpride,blood,1,4,11
Amisulpride,metabolism,1,4,4
Amisulpride,"Chromatography, High Pressure Liquid",1,4,6
drug effects,pharmacology,1,5,3
Antipsychotics,Dried Blood Spot Testing,1,10,2
"Chromatography, High Pressure Liquid",Dried Blood Spot Testing,1,6,2
Dried Blood Spot Testing,methods,1,2,8
Amisulpride,Antipsychotics,1,4,10
Antipsychotics,asenapine,1,10,2
epidemiology,psychosis,1,4,2
haloperidol,psychosis,1,3,2
Olanzapine,psychosis,1,6,2
Paliperidone Palmitate,psychosis,1,3,2
Quetiapine Fumarate,psychosis,1,4,2
Risperidone,psychosis,1,7,2
"Chromatography, High Pressure Liquid",asenapine,1,6,2
Reproducibility of Results,asenapine,1,3,2
Tandem Mass Spectrometry,asenapine,1,11,2
Clozapine,Quality Control,1,10,2
Clozapine,blood,1,10,11
Clozapine,metabolism,1,10,4
"Chromatography, High Pressure Liquid",Clozapine,1,6,10
haloperidol,therapeutic drug monitoring,1,3,8
iloperidone,therapeutic drug monitoring,1,2,8
lurasidone,therapeutic drug monitoring,1,2,8
Olanzapine,therapeutic drug monitoring,1,6,8
paliperidone,therapeutic drug monitoring,1,2,8
Quality Control,therapeutic drug monitoring,1,2,8
quetiapine,therapeutic drug monitoring,1,2,8
Risperidone,therapeutic drug monitoring,1,7,8
sertindole,therapeutic drug monitoring,1,2,8
Reproducibility of Results,haloperidol,1,3,3
Tandem Mass Spectrometry,haloperidol,1,11,3
Quality Control,iloperidone,1,2,2
blood,iloperidone,1,11,2
iloperidone,metabolism,1,2,4
iloperidone,methods,1,2,8
"Chromatography, High Pressure Liquid",iloperidone,1,6,2
Reproducibility of Results,iloperidone,1,3,2
Tandem Mass Spectrometry,iloperidone,1,11,2
Quality Control,lurasidone,1,2,2
Aripiprazole,Quality Control,1,6,2
Aripiprazole,"Chromatography, High Pressure Liquid",1,6,6
Quality Control,asenapine,1,2,2
asenapine,blood,1,2,11
asenapine,metabolism,1,2,4
asenapine,methods,1,2,8
lurasidone,methods,1,2,8
"Chromatography, High Pressure Liquid",lurasidone,1,6,2
Reproducibility of Results,lurasidone,1,3,2
Tandem Mass Spectrometry,lurasidone,1,11,2
Olanzapine,Quality Control,1,6,2
Olanzapine,blood,1,6,11
Olanzapine,metabolism,1,6,4
"Chromatography, High Pressure Liquid",Olanzapine,1,6,6
Quality Control,paliperidone,1,2,2
blood,paliperidone,1,11,2
metabolism,paliperidone,1,4,2
Quality Control,haloperidol,1,2,3
blood,haloperidol,1,11,3
haloperidol,metabolism,1,3,4
haloperidol,methods,1,3,8
"Chromatography, High Pressure Liquid",haloperidol,1,6,3
Reproducibility of Results,paliperidone,1,3,2
Tandem Mass Spectrometry,paliperidone,1,11,2
Quality Control,quetiapine,1,2,2
Quality Control,Risperidone,1,2,7
Quality Control,sertindole,1,2,2
Quality Control,metabolism,1,2,4
Quality Control,methods,1,2,8
Quality Control,Reproducibility of Results,1,2,3
blood,quetiapine,1,11,2
metabolism,quetiapine,1,4,2
methods,quetiapine,1,8,2
"Chromatography, High Pressure Liquid",quetiapine,1,6,2
Reproducibility of Results,quetiapine,1,3,2
Tandem Mass Spectrometry,quetiapine,1,11,2
blood,lurasidone,1,11,2
lurasidone,metabolism,1,2,4
Aripiprazole,psychosis,1,6,2
psychosis,therapeutic use,1,2,19
Olanzapine,antipsychotic,1,6,2
Clozapine,antipsychotic,1,10,2
antipsychotic drugs,psychosis,1,3,2
Amisulpride,antipsychotic drugs,1,4,3
metabolism,sertindole,1,4,2
methods,sertindole,1,8,2
"Chromatography, High Pressure Liquid",sertindole,1,6,2
Reproducibility of Results,sertindole,1,3,2
Tandem Mass Spectrometry,sertindole,1,11,2
metabolism,methods,1,4,8
"Chromatography, High Pressure Liquid",metabolism,1,6,4
Reproducibility of Results,metabolism,1,3,4
methods,paliperidone,1,8,2
"Chromatography, High Pressure Liquid",paliperidone,1,6,2
Clozapine,Drug Monitoring,1,10,13
Dibenzothiazepines,Schizophrenia,1,2,10
Dibenzothiazepines,drug therapy,1,2,14
Risperidone,blood,1,7,11
Risperidone,metabolism,1,7,4
"Chromatography, High Pressure Liquid",Risperidone,1,6,7
blood,sertindole,1,11,2
Olanzapine,antipsychotic drugs,1,6,3
Paliperidone Palmitate,antipsychotic drugs,1,3,3
Quetiapine Fumarate,antipsychotic drugs,1,4,3
